barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos5_cell314_z2,15,18,Neural-crest,Surface-ectoderm,0.205844554,-2.490209623,1,0
embryo1_Pos5_cell314_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.157217908,-1.939996984,1,0
embryo1_Pos5_cell315_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.197882156,-1.928109532,1,0
embryo1_Pos5_cell315_z5,0,15,Cranial-mesoderm,Neural-crest,0.162807062,-2.469006336,1,0
embryo1_Pos5_cell316_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.161520072,-1.780643291,1,0
embryo1_Pos5_cell317_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.194731525,-1.727724743,1,0
embryo1_Pos5_cell317_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.173192384,-1.634940257,1,0
embryo1_Pos5_cell318_z2,14,15,Forebrain-Midbrain-Hindbrain,Neural-crest,0.209052032,-1.553932879,1,0
embryo1_Pos5_cell318_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.17949767,-1.570010221,1,0
embryo1_Pos5_cell32_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.271624195,-1.925597813,1,0
embryo1_Pos5_cell32_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.270222847,-2.33615681,1,0
embryo1_Pos5_cell320_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.207613218,-1.85862858,1,0
embryo1_Pos5_cell320_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.19557497,-1.8956798,1,0
embryo1_Pos5_cell322_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.191313322,-1.802816521,1,0
embryo1_Pos5_cell323_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.173980615,-1.913705752,1,0
embryo1_Pos5_cell324_z2,3,16,Low-quality,Haematoendothelial-progenitors,0.204289987,-2.104282473,1,0
embryo1_Pos5_cell325_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.197349353,-1.746897538,1,0
embryo1_Pos5_cell326_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.206004749,-1.785258255,1,0
embryo1_Pos5_cell326_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.18789611,-1.962910224,1,0
embryo1_Pos5_cell327_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.220539588,-1.700334305,1,0
embryo1_Pos5_cell33_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.257248877,-1.709116924,1,0
embryo1_Pos5_cell33_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.267418666,-2.088812754,1,0
embryo1_Pos5_cell330_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.222882708,-1.825147732,1,0
embryo1_Pos5_cell330_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.191477902,-1.694064367,1,0
embryo1_Pos5_cell331_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.226022247,-1.746771222,1,0
embryo1_Pos5_cell331_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.209545909,-1.609794122,1,0
embryo1_Pos5_cell332_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.217559532,-1.61958588,1,0
