barcode,zscore
embryo1_Pos10_cell202_z2,-0.544328652
embryo1_Pos10_cell203_z2,1.321034251
embryo1_Pos10_cell204_z2,-0.544328652
embryo1_Pos10_cell206_z2,-0.544328652
embryo1_Pos10_cell206_z5,-0.544328652
embryo1_Pos10_cell208_z2,1.196454397
embryo1_Pos10_cell209_z5,-0.544328652
embryo1_Pos10_cell210_z2,-0.544328652
embryo1_Pos10_cell212_z5,-0.544328652
embryo1_Pos10_cell213_z2,-0.544328652
embryo1_Pos10_cell214_z5,-0.544328652
embryo1_Pos10_cell217_z5,-0.544328652
embryo1_Pos10_cell218_z2,-0.544328652
embryo1_Pos10_cell220_z2,-0.544328652
embryo1_Pos10_cell220_z5,-0.544328652
embryo1_Pos10_cell223_z2,1.366669437
embryo1_Pos10_cell223_z5,-0.544328652
embryo1_Pos10_cell227_z2,1.79548929
embryo1_Pos10_cell227_z5,-0.544328652
embryo1_Pos10_cell228_z2,1.16412708
embryo1_Pos10_cell228_z5,-0.544328652
embryo1_Pos10_cell23_z5,-0.544328652
embryo1_Pos10_cell230_z5,1.18592513
embryo1_Pos10_cell232_z2,-0.544328652
embryo1_Pos10_cell234_z2,1.774053662
embryo1_Pos10_cell235_z2,-0.544328652
embryo1_Pos10_cell236_z2,-0.544328652
embryo1_Pos10_cell237_z2,-0.544328652
embryo1_Pos10_cell238_z5,-0.544328652
embryo1_Pos10_cell24_z2,-0.544328652
embryo1_Pos10_cell240_z2,-0.544328652
embryo1_Pos10_cell240_z5,-0.544328652
embryo1_Pos10_cell243_z2,-0.544328652
embryo1_Pos10_cell244_z2,-0.544328652
embryo1_Pos10_cell249_z2,1.434339564
embryo1_Pos10_cell249_z5,-0.544328652
embryo1_Pos10_cell25_z2,-0.544328652
embryo1_Pos10_cell25_z5,-0.544328652
embryo1_Pos10_cell251_z2,-0.544328652
embryo1_Pos10_cell255_z2,1.107996626
embryo1_Pos10_cell256_z2,-0.544328652
embryo1_Pos10_cell258_z2,-0.544328652
embryo1_Pos10_cell264_z2,-0.544328652
embryo1_Pos10_cell266_z2,-0.544328652
embryo1_Pos10_cell267_z2,-0.544328652
embryo1_Pos10_cell27_z2,-0.544328652
embryo1_Pos10_cell27_z5,-0.544328652
embryo1_Pos10_cell272_z2,-0.544328652
embryo1_Pos10_cell276_z2,1.270407174
embryo1_Pos10_cell278_z2,1.440644746
embryo1_Pos10_cell28_z2,1.161295702
embryo1_Pos10_cell28_z5,-0.544328652
embryo1_Pos10_cell281_z2,-0.544328652
embryo1_Pos10_cell286_z2,1.384405035
embryo1_Pos10_cell287_z2,1.063601376
embryo1_Pos10_cell30_z2,-0.544328652
embryo1_Pos10_cell305_z2,1.268631867
embryo1_Pos10_cell32_z2,-0.544328652
embryo1_Pos10_cell324_z5,-0.544328652
embryo1_Pos10_cell33_z2,1.912692618
embryo1_Pos10_cell33_z5,-0.544328652
embryo1_Pos10_cell34_z2,0.887328009
embryo1_Pos10_cell343_z5,-0.544328652
embryo1_Pos10_cell35_z5,-0.544328652
embryo1_Pos10_cell351_z5,-0.544328652
embryo1_Pos10_cell37_z2,-0.544328652
embryo1_Pos10_cell374_z2,-0.544328652
embryo1_Pos10_cell38_z2,-0.544328652
embryo1_Pos10_cell409_z2,-0.544328652
embryo1_Pos10_cell42_z5,-0.544328652
embryo1_Pos10_cell47_z2,-0.544328652
embryo1_Pos10_cell47_z5,-0.544328652
embryo1_Pos10_cell51_z2,1.297866278
embryo1_Pos10_cell52_z2,0.782719123
embryo1_Pos10_cell52_z5,-0.544328652
embryo1_Pos10_cell54_z5,2.349564169
embryo1_Pos10_cell60_z5,-0.544328652
embryo1_Pos10_cell61_z2,-0.544328652
embryo1_Pos10_cell62_z5,-0.544328652
embryo1_Pos10_cell66_z2,1.522018363
embryo1_Pos10_cell71_z5,-0.544328652
embryo1_Pos10_cell72_z2,1.251234055
embryo1_Pos10_cell73_z2,-0.544328652
embryo1_Pos10_cell74_z5,-0.544328652
embryo1_Pos10_cell75_z5,1.967929986
embryo1_Pos10_cell76_z2,1.414700775
embryo1_Pos10_cell78_z2,1.181483832
