barcode,zscore
embryo1_Pos6_cell359_z5,-0.544328652
embryo1_Pos6_cell360_z2,-0.544328652
embryo1_Pos6_cell360_z5,-0.544328652
embryo1_Pos6_cell361_z2,1.335087594
embryo1_Pos6_cell361_z5,1.15013818
embryo1_Pos6_cell362_z5,-0.544328652
embryo1_Pos6_cell363_z2,1.131231295
embryo1_Pos6_cell363_z5,-0.544328652
embryo1_Pos6_cell364_z2,-0.544328652
embryo1_Pos6_cell365_z2,-0.544328652
embryo1_Pos6_cell366_z2,-0.544328652
embryo1_Pos6_cell366_z5,-0.544328652
embryo1_Pos6_cell368_z5,-0.544328652
embryo1_Pos6_cell369_z2,1.368850879
embryo1_Pos6_cell371_z2,-0.544328652
embryo1_Pos6_cell372_z2,-0.544328652
embryo1_Pos6_cell372_z5,-0.544328652
embryo1_Pos6_cell374_z2,-0.544328652
embryo1_Pos6_cell374_z5,1.305464423
embryo1_Pos6_cell375_z2,0.750855274
embryo1_Pos6_cell377_z2,-0.544328652
embryo1_Pos6_cell378_z2,-0.544328652
embryo1_Pos6_cell379_z2,-0.544328652
embryo1_Pos6_cell381_z2,-0.544328652
embryo1_Pos6_cell383_z2,-0.544328652
embryo1_Pos6_cell387_z2,0.852257741
embryo1_Pos6_cell388_z2,-0.544328652
embryo1_Pos6_cell391_z2,-0.544328652
embryo1_Pos6_cell394_z2,1.327006554
embryo1_Pos6_cell395_z2,-0.544328652
embryo1_Pos6_cell402_z2,-0.544328652
embryo1_Pos6_cell403_z2,-0.544328652
embryo1_Pos6_cell405_z2,-0.544328652
embryo1_Pos6_cell408_z2,-0.544328652
embryo1_Pos6_cell411_z2,-0.544328652
embryo1_Pos6_cell414_z2,-0.544328652
embryo1_Pos6_cell418_z2,-0.544328652
embryo1_Pos6_cell421_z2,1.270407174
embryo1_Pos6_cell422_z2,-0.544328652
embryo1_Pos6_cell423_z2,-0.544328652
embryo1_Pos6_cell426_z2,-0.544328652
embryo1_Pos6_cell427_z2,-0.544328652
embryo1_Pos6_cell428_z2,1.309309562
embryo1_Pos6_cell433_z2,-0.544328652
embryo1_Pos6_cell434_z2,1.202578569
embryo1_Pos6_cell436_z2,-0.544328652
embryo1_Pos6_cell437_z2,-0.544328652
embryo1_Pos6_cell438_z2,-0.544328652
embryo1_Pos6_cell441_z2,-0.544328652
embryo1_Pos6_cell449_z2,-0.544328652
embryo1_Pos6_cell453_z2,-0.544328652
embryo1_Pos6_cell455_z2,-0.544328652
embryo1_Pos6_cell458_z2,-0.544328652
embryo1_Pos7_cell103_z2,1.501434362
embryo1_Pos7_cell16_z5,-0.544328652
embryo1_Pos7_cell18_z5,-0.544328652
embryo1_Pos7_cell2_z5,-0.544328652
embryo1_Pos7_cell20_z5,-0.544328652
embryo1_Pos7_cell21_z5,-0.544328652
